id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
2290,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",17-07-2023 10:00:00,PM10,40,125,88,NA
2297,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",17-07-2023 10:00:00,PM10,29,175,121,NA
2289,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",17-07-2023 10:00:00,PM2.5,18,95,59,NA
2296,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",17-07-2023 10:00:00,PM2.5,20,74,49,NA
2291,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",17-07-2023 10:00:00,NO2,10,49,26,NA
2298,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",17-07-2023 10:00:00,NO2,25,57,38,NA
2292,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",17-07-2023 10:00:00,NH3,NA,NA,NA,NA
2299,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",17-07-2023 10:00:00,NH3,4,5,4,NA
2293,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",17-07-2023 10:00:00,SO2,5,12,9,NA
2300,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",17-07-2023 10:00:00,SO2,9,13,11,NA
2294,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",17-07-2023 10:00:00,CO,16,117,57,NA
2301,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",17-07-2023 10:00:00,CO,56,88,69,NA
2295,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",17-07-2023 10:00:00,OZONE,11,208,18,NA
2302,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",17-07-2023 10:00:00,OZONE,1,158,12,NA
